ponto;nome;E;N;Dip dir ;Dip
Ponto GR3-03;UTM 23K 594531m E, 7573925m N;594531;7573925;30;110
Ponto GR3-09;UTM 23K 596839m E, 7571251m N;596839;7571251;78;175
Ponto GR3-10;UTM 23K 596843m E, 7571062m N;596843;7571062;23;125
Ponto GR3-11;UTM 23K 596935m E, 7075915m N;596935;7075915;35;130
Ponto GR3-12;UTM 23K 596765m E, 7570925m N;596765;7570925;52;127
Ponto GR3-19;UTM 23K 594696m E, 7571270m N;594696;7571270;10;210
Ponto GR3-25;UTM 23K 592771m E, 7574240m N;592771;7574240;62;145
Ponto GR3-26;UTM 23K5993335m E, 7573853m N;599335;7573853;64;205
Ponto GR3-28;UTM 23K 593185m E, 7573531m N;593185;7573531;42;225
Ponto GR3-33;UTM 23K 595226m E, 7573595m N;595226;7573595;65;190
Ponto GR3-34;????;593533;7574725;27;110
Ponto GR3-35;UTM 23K 592935m E, 7574721m N;592935;7574721;58;350
Ponto GR3-37;UTM 23K 592016m E, 7574594m N;592016;7574594;70;185
